,dataset,timestamp,cca,cas,clisis,gcs,mlami
0,xenium_human_breast_cancer,02072023_073546_2011,0.49184146341463414,0.6969948440871871,0.9229869818819878,0.9150283036511119,0.6771979366051801
1,xenium_human_breast_cancer,02072023_072424_2010,0.5238353658536585,0.6409004773254308,0.9186616505106047,0.8949190799257734,0.6288636583459678
2,xenium_human_breast_cancer,02072023_064949_2009,0.5491768292682927,0.5441735621134858,0.9099721508978998,0.8839286818712943,0.5345467279019496
3,xenium_human_breast_cancer,02072023_064251_2008,0.5965792682926829,0.42153941551448915,0.8941783646029401,0.8422238510216034,0.4208046897852293
4,xenium_human_breast_cancer,02072023_053747_2007,0.48564024390243904,0.7307831925884256,0.9235574265669096,0.8799212234302235,0.6774644551964473
5,xenium_human_breast_cancer,02072023_051845_2006,0.5087682926829268,0.6881905205783728,0.9198362106508939,0.87320947619858,0.626552285207028
6,xenium_human_breast_cancer,02072023_051144_2005,0.5388170731707317,0.592945246528165,0.9132213002243418,0.8545800599949995,0.5463536302069695
7,xenium_human_breast_cancer,02072023_043103_2004,0.5875853658536585,0.43262061436511423,0.8948925731526188,0.810254518070814,0.42042992717482885
8,xenium_human_breast_cancer,02072023_042627_2003,0.4463170731707317,0.7316065385908013,0.9226774792599777,0.8743719671900066,0.6591927974110106
9,xenium_human_breast_cancer,02072023_042616_2002,0.4783719512195122,0.7040452588288029,0.9197923394586137,0.8631133555628905,0.610000708969258
10,xenium_human_breast_cancer,02072023_033721_2001,0.5068841463414634,0.6465514741752313,0.9147179235031611,0.8422700157540479,0.5352170204464658
11,xenium_human_breast_cancer,02072023_024732_2000,0.5660426829268292,0.47440961935025405,0.9005050902609719,0.8021415738761417,0.4247133078706459
12,xenium_human_breast_cancer,02072023_024724_1003,0.5093658536585366,0.711229868558841,0.9236826733627153,0.962979273401412,0.8130632907362831
13,xenium_human_breast_cancer,02072023_024349_1002,0.5293719512195122,0.6678885068669516,0.9163505337748985,0.9611232005454052,0.7509602408609791
14,xenium_human_breast_cancer,02072023_015207_1001,0.5545548780487805,0.5815163031903051,0.9047211117066929,0.9515404667300051,0.5960692269325881
15,xenium_human_breast_cancer,02072023_012108_1000,0.5993536585365854,0.49250268449597945,0.886636196329107,0.9234330556359952,0.42380700730385806
