,dataset,timestamp,cca,cas,clisis,gcs,mlami
0,xenium_human_breast_cancer,02072023_010519_36,0.49590243902439024,0.7089573005147863,0.9225156659515124,0.9059146156107136,0.6782344774571047
1,xenium_human_breast_cancer,02072023_005209_35,0.5177439024390244,0.6448852860032009,0.9185649376783717,0.8974947207713265,0.6279144159496666
2,xenium_human_breast_cancer,02072023_003403_34,0.5434146341463415,0.5564216753508471,0.9105117898052665,0.8810399472130478,0.5383331335764707
3,xenium_human_breast_cancer,02072023_000537_33,0.595,0.4305146224928199,0.893919145805024,0.8398389535633499,0.4201595995783684
4,xenium_human_breast_cancer,01072023_235654_32,0.48389634146341465,0.7503001899984086,0.9232367521370958,0.88470008205872,0.6689579478246916
5,xenium_human_breast_cancer,01072023_235120_31,0.49973170731707317,0.6789974528600923,0.9192452050829933,0.8714098320714516,0.6121246139417101
6,xenium_human_breast_cancer,01072023_233444_30,0.5313353658536585,0.5997184265165814,0.9137661235823336,0.8521352288274473,0.5496302636685084
7,xenium_human_breast_cancer,01072023_233444_29,0.5852012195121952,0.4321949456431281,0.8957676269751594,0.8081791366891042,0.42225436635530766
8,xenium_human_breast_cancer,01072023_223719_28,0.4301829268292683,0.701882127258751,0.9225557023055468,0.8698439774585812,0.6672713224802641
9,xenium_human_breast_cancer,01072023_223411_27,0.4510609756097561,0.709140765363915,0.9202590346555746,0.8613940477231169,0.6232630526852637
10,xenium_human_breast_cancer,01072023_222634_26,0.5150121951219512,0.6291490580022763,0.9140697256139563,0.8406573707381513,0.5199147589003615
11,xenium_human_breast_cancer,01072023_222530_25,0.5822926829268292,0.4660036828369637,0.8981720442409572,0.8007656382244467,0.4101117910299631
12,xenium_human_breast_cancer,01072023_221617_24,0.5061463414634146,0.7235057807342549,0.924271956612438,0.9637495625489639,0.8231617995407862
13,xenium_human_breast_cancer,01072023_214957_23,0.52275,0.6555729658809148,0.9155186611631971,0.9566940110598933,0.7212261292535839
14,xenium_human_breast_cancer,01072023_214335_22,0.5406036585365853,0.5852090086234876,0.9040371256523762,0.9478034413765813,0.5839911742258269
15,xenium_human_breast_cancer,01072023_212311_21,0.59825,0.4745759193974761,0.8876005545688134,0.9173726170701588,0.40607941663854286
16,xenium_human_breast_cancer,01072023_211321_20,0.498109756097561,0.6757032711147033,0.9219407960520236,0.9342284716740243,0.704357936846346
17,xenium_human_breast_cancer,01072023_205139_19,0.5163658536585366,0.6028647264101733,0.9150847780445669,0.9214422611772219,0.6178658077797792
18,xenium_human_breast_cancer,01072023_204411_17,0.5989756097560975,0.42762243592102356,0.8907485577750338,0.8754619545681902,0.43200923360798177
19,xenium_human_breast_cancer,01072023_204411_18,0.5459512195121952,0.5265308875851216,0.9067929917367966,0.9115293620004765,0.5555333211773011
20,xenium_human_breast_cancer,01072023_200351_16,0.47184756097560976,0.7469765357098994,0.9238144395901436,0.8863207413971235,0.659698406429225
21,xenium_human_breast_cancer,01072023_200351_15,0.48739634146341465,0.689399875068627,0.9204771536027222,0.8718951045069723,0.6034783419261658
22,xenium_human_breast_cancer,01072023_194821_14,0.5217987804878049,0.5990027765802002,0.9135237276586969,0.8447878980956358,0.5027169229844644
23,xenium_human_breast_cancer,01072023_193903_13,0.5796158536585366,0.4371153480146085,0.8973975578765049,0.7965988506055088,0.3794278516746181
24,xenium_human_breast_cancer,01072023_184922_12,0.5167073170731707,0.7518098442346763,0.9267462493293193,0.972987332723185,0.8627713656171504
25,xenium_human_breast_cancer,01072023_182932_11,0.5327134146341463,0.6991690447435042,0.9161570473137812,0.9702515821978432,0.8326588792900674
26,xenium_human_breast_cancer,01072023_182929_10,0.5578170731707317,0.649686656296418,0.9032243149867694,0.9656334211951165,0.7057968851821083
27,xenium_human_breast_cancer,01072023_182929_9,0.6068719512195122,0.42999899773395545,0.8893834097936097,0.9439007111327404,0.3948084512090193
28,xenium_human_breast_cancer,01072023_174924_8,0.5187865853658536,0.6684125712007694,0.9174902858559525,0.9562111451090789,0.7473328092370628
29,xenium_human_breast_cancer,01072023_174811_7,0.5366768292682926,0.6204372025999563,0.9091218038713959,0.9505822914311428,0.6447862679081267
