Epoch 12/100 |██------------------| 12.0% val_auroc_score: 0.8200; val_auprc_score: 0.8253; val_best_acc_score: 0.5050; val_best_f1_score: 0.6689; train_kl_reg_loss: 235745.1458; train_edge_recon_loss: 3649447.0000; train_gene_expr_recon_loss: 42361337.3333; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 156888238.2222; train_global_loss: 203134768.0000; train_optim_loss: 203134768.0000; val_kl_reg_loss: 210854.4688; val_edge_recon_loss: 4065488.5000; val_gene_expr_recon_loss: 41802640.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 156287968.0000; val_global_loss: 202366944.0000; val_optim_loss: 202366944.0000
Epoch 13/100 |██------------------| 13.0% val_auroc_score: 0.8175; val_auprc_score: 0.8202; val_best_acc_score: 0.5086; val_best_f1_score: 0.6705; train_kl_reg_loss: 240073.3576; train_edge_recon_loss: 3638388.5556; train_gene_expr_recon_loss: 41351008.8889; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 157227304.8889; train_global_loss: 202456776.8889; train_optim_loss: 202456776.8889; val_kl_reg_loss: 196317.9688; val_edge_recon_loss: 4065159.7500; val_gene_expr_recon_loss: 41048400.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 155653424.0000; val_global_loss: 200963296.0000; val_optim_loss: 200963296.0000
Epoch 14/100 |██------------------| 14.0% val_auroc_score: 0.8160; val_auprc_score: 0.8110; val_best_acc_score: 0.5105; val_best_f1_score: 0.6714; train_kl_reg_loss: 234595.3993; train_edge_recon_loss: 3635534.1111; train_gene_expr_recon_loss: 40892134.2222; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 155542096.0000; train_global_loss: 200304360.8889; train_optim_loss: 200304360.8889; val_kl_reg_loss: 184744.5781; val_edge_recon_loss: 4065015.5000; val_gene_expr_recon_loss: 40275000.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 154819616.0000; val_global_loss: 199344384.0000; val_optim_loss: 199344384.0000
Epoch 15/100 |███-----------------| 15.0% val_auroc_score: 0.8155; val_auprc_score: 0.8150; val_best_acc_score: 0.5144; val_best_f1_score: 0.6731; train_kl_reg_loss: 239128.7951; train_edge_recon_loss: 3625727.9167; train_gene_expr_recon_loss: 40200646.2222; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 155596753.7778; train_global_loss: 199662254.2222; train_optim_loss: 199662254.2222; val_kl_reg_loss: 175373.3750; val_edge_recon_loss: 4064762.2500; val_gene_expr_recon_loss: 39993360.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 154631280.0000; val_global_loss: 198864768.0000; val_optim_loss: 198864768.0000
Epoch 16/100 |███-----------------| 16.0% val_auroc_score: 0.8217; val_auprc_score: 0.8274; val_best_acc_score: 0.5170; val_best_f1_score: 0.6743; train_kl_reg_loss: 223474.7708; train_edge_recon_loss: 3635384.5000; train_gene_expr_recon_loss: 39610647.5556; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 154711312.0000; train_global_loss: 198180817.7778; train_optim_loss: 198180817.7778; val_kl_reg_loss: 173498.0625; val_edge_recon_loss: 4064536.0000; val_gene_expr_recon_loss: 39484904.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 154347664.0000; val_global_loss: 198070592.0000; val_optim_loss: 198070592.0000
Epoch 17/100 |███-----------------| 17.0% val_auroc_score: 0.8360; val_auprc_score: 0.8407; val_best_acc_score: 0.5216; val_best_f1_score: 0.6763; train_kl_reg_loss: 233470.9427; train_edge_recon_loss: 3616169.7500; train_gene_expr_recon_loss: 39380392.8889; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 154250572.4444; train_global_loss: 197480606.2222; train_optim_loss: 197480606.2222; val_kl_reg_loss: 211036.1562; val_edge_recon_loss: 4064210.2500; val_gene_expr_recon_loss: 39185996.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 153838976.0000; val_global_loss: 197300224.0000; val_optim_loss: 197300224.0000
Epoch 18/100 |███-----------------| 18.0% val_auroc_score: 0.8368; val_auprc_score: 0.8372; val_best_acc_score: 0.5307; val_best_f1_score: 0.6804; train_kl_reg_loss: 225343.3177; train_edge_recon_loss: 3613980.7222; train_gene_expr_recon_loss: 39432599.5556; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 154853516.4444; train_global_loss: 198125440.0000; train_optim_loss: 198125440.0000; val_kl_reg_loss: 169904.6094; val_edge_recon_loss: 4063756.5000; val_gene_expr_recon_loss: 39068648.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 153799488.0000; val_global_loss: 197101792.0000; val_optim_loss: 197101792.0000
Epoch 19/100 |███-----------------| 19.0% val_auroc_score: 0.8385; val_auprc_score: 0.8361; val_best_acc_score: 0.5278; val_best_f1_score: 0.6790; train_kl_reg_loss: 221959.6354; train_edge_recon_loss: 3615206.8889; train_gene_expr_recon_loss: 38904724.8889; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 153611306.6667; train_global_loss: 196353196.4444; train_optim_loss: 196353196.4444; val_kl_reg_loss: 179674.2812; val_edge_recon_loss: 4063615.0000; val_gene_expr_recon_loss: 38836360.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 153591344.0000; val_global_loss: 196670992.0000; val_optim_loss: 196670992.0000
Epoch 20/100 |████----------------| 20.0% val_auroc_score: 0.8458; val_auprc_score: 0.8407; val_best_acc_score: 0.5380; val_best_f1_score: 0.6836; train_kl_reg_loss: 225680.3247; train_edge_recon_loss: 3604451.9722; train_gene_expr_recon_loss: 39039083.5556; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 154409964.4444; train_global_loss: 197279178.6667; train_optim_loss: 197279178.6667; val_kl_reg_loss: 159717.6562; val_edge_recon_loss: 4062996.7500; val_gene_expr_recon_loss: 38762128.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 153315904.0000; val_global_loss: 196300752.0000; val_optim_loss: 196300752.0000
Epoch 21/100 |████----------------| 21.0% val_auroc_score: 0.8614; val_auprc_score: 0.8598; val_best_acc_score: 0.5563; val_best_f1_score: 0.6922; train_kl_reg_loss: 210842.0868; train_edge_recon_loss: 3620162.9444; train_gene_expr_recon_loss: 38662063.1111; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 153248977.7778; train_global_loss: 195742046.2222; train_optim_loss: 195742046.2222; val_kl_reg_loss: 172896.7656; val_edge_recon_loss: 4062096.5000; val_gene_expr_recon_loss: 38502332.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 152918304.0000; val_global_loss: 195655632.0000; val_optim_loss: 195655632.0000
