,dataset,timestamp,val_auroc_score,val_gene_expr_mse_score,lambda_edge_recon_,lambda_gene_expr_recon_,n_neighbors,nichenet_keep_target_genes_ratio,add_fc_gps_instead_of_gp_dict_gps,loss_weights
315,vizgen_merfish_human_ovarian_cancer,06072023_195410_8,0.9671085182758457,8.880450652930602,0.0,30.0,16,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
316,vizgen_merfish_human_ovarian_cancer,06072023_192140_7,0.9753002191246505,8.495731752129403,0.0,30.0,12,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
317,vizgen_merfish_human_ovarian_cancer,06072023_175255_6,0.972700809254713,8.538678916947616,0.0,30.0,8,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
318,vizgen_merfish_human_ovarian_cancer,06072023_175254_2,0.5,14.010436189401497,0.0,0.0,8,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
319,vizgen_merfish_human_ovarian_cancer,06072023_175255_3,0.5,14.15090544868349,0.0,0.0,12,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
320,vizgen_merfish_human_ovarian_cancer,06072023_175254_4,0.5,13.895278810589117,0.0,0.0,16,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
321,vizgen_merfish_human_ovarian_cancer,06072023_175254_1,0.500654355910966,14.767255004378274,0.0,0.0,4,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
322,vizgen_merfish_human_ovarian_cancer,06072023_175254_5,0.9445352713381222,8.339670872540253,0.0,30.0,4,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
323,vizgen_merfish_human_ovarian_cancer,06072023_102733_35,0.9984326866707548,8.627533324037936,500000.0,300.0,12,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
324,vizgen_merfish_human_ovarian_cancer,06072023_102733_36,0.9989865054838384,8.60859747469753,500000.0,300.0,16,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
325,vizgen_merfish_human_ovarian_cancer,06072023_093107_34,0.9971709463647089,8.416368162935171,500000.0,300.0,8,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
326,vizgen_merfish_human_ovarian_cancer,06072023_083640_33,0.9909998872830711,8.756389963322109,500000.0,300.0,4,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
327,vizgen_merfish_human_ovarian_cancer,06072023_071309_31,0.9987134037906609,8.933846655510566,500000.0,30.0,12,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
328,vizgen_merfish_human_ovarian_cancer,06072023_062425_30,0.9976065794048441,8.703016106697653,500000.0,30.0,8,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
329,vizgen_merfish_human_ovarian_cancer,06072023_053419_29,0.9930237932828853,8.830236266582626,500000.0,30.0,4,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
330,vizgen_merfish_human_ovarian_cancer,06072023_053307_27,0.9985937709302815,13.808195930137119,500000.0,0.0,12,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
331,vizgen_merfish_human_ovarian_cancer,06072023_052827_26,0.9975511922211294,14.268594388680802,500000.0,0.0,8,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
332,vizgen_merfish_human_ovarian_cancer,06072023_042358_25,0.9894251058111238,14.66589607148698,500000.0,0.0,4,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
333,vizgen_merfish_human_ovarian_cancer,06072023_035926_23,0.9977985495279422,8.39066627593213,50000.0,300.0,12,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
334,vizgen_merfish_human_ovarian_cancer,06072023_035926_24,0.997946376896694,8.564686474070163,50000.0,300.0,16,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
335,vizgen_merfish_human_ovarian_cancer,06072023_024354_22,0.9956754681592208,8.27064598615581,50000.0,300.0,8,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
336,vizgen_merfish_human_ovarian_cancer,06072023_023004_21,0.9851209971684557,8.445458220991691,50000.0,300.0,4,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
337,vizgen_merfish_human_ovarian_cancer,06072023_020835_20,0.9991046874840047,8.61173479013299,50000.0,30.0,16,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
338,vizgen_merfish_human_ovarian_cancer,06072023_012419_19,0.9987204167824825,8.609509908543508,50000.0,30.0,12,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
339,vizgen_merfish_human_ovarian_cancer,06072023_011919_18,0.9977176665056011,8.704604078630084,50000.0,30.0,8,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
340,vizgen_merfish_human_ovarian_cancer,06072023_005549_17,0.991476411145516,8.772893728404952,50000.0,30.0,4,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
