,source,target,strength
137,Muscles,Hematopoiesis,-432.52761944385463
129,Hindbrain,Hematopoiesis,0.0
182,Floor Plate,Hindbrain,-1451.9337878833112
183,Mixed mesenchymal mesoderm,Hindbrain,0.0
184,Dorsal Gut,Hindbrain,-6418.976979016699
185,Developing Heart,Hindbrain,-3.2515963912105788
186,Hematopoiesis,Hindbrain,0.0
187,Midbrain,Hindbrain,3.1543658867721027
188,Presomitic Mesoderm,Hindbrain,2.904521990930487
189,Hindbrain,Hindbrain,0.0
193,Mix,Hindbrain,0.0
191,Angiogenesis,Hindbrain,0.6226284693965077
192,Ventral Gut,Hindbrain,-20159.044973076354
194,Spinal cord,Hindbrain,-6.546444017325761
195,Forebrain,Hindbrain,-2.4074896068463234
196,Allantois,Hindbrain,0.0
197,Muscles,Hindbrain,-0.2813806087197853
198,Surface Ectoderm,Hindbrain,-11.28739857067419
181,Splanchnic Mesoderm,Hindbrain,-28.381854710255972
190,Neural Crest (Neural Tube),Hindbrain,0.0
180,Lateral Plate Mesoderm,Hindbrain,-0.4913094379843602
199,Cranial Mesoderm,Hindbrain,-2.647242012798424
0,Lateral Plate Mesoderm,Lateral Plate Mesoderm,0.20930278803106359
18,Surface Ectoderm,Lateral Plate Mesoderm,4.808545913858776
16,Allantois,Lateral Plate Mesoderm,0.0
15,Forebrain,Lateral Plate Mesoderm,1.0256149137619133
14,Spinal cord,Lateral Plate Mesoderm,2.788851340077803
13,Mix,Lateral Plate Mesoderm,0.0
12,Ventral Gut,Lateral Plate Mesoderm,8587.956979248545
11,Angiogenesis,Lateral Plate Mesoderm,-0.26524602313125295
10,Neural Crest (Neural Tube),Lateral Plate Mesoderm,0.0
17,Muscles,Lateral Plate Mesoderm,0.11987098425087332
8,Presomitic Mesoderm,Lateral Plate Mesoderm,-1.2373557346941038
9,Hindbrain,Lateral Plate Mesoderm,0.0
1,Splanchnic Mesoderm,Lateral Plate Mesoderm,12.09095706510371
2,Floor Plate,Lateral Plate Mesoderm,618.5384736088723
3,Mixed mesenchymal mesoderm,Lateral Plate Mesoderm,0.0
19,Cranial Mesoderm,Lateral Plate Mesoderm,1.1277518627462457
5,Developing Heart,Lateral Plate Mesoderm,1.385212938355524
6,Hematopoiesis,Lateral Plate Mesoderm,0.0
7,Midbrain,Lateral Plate Mesoderm,-1.3437917604027239
4,Dorsal Gut,Lateral Plate Mesoderm,2734.5490929856173
142,Floor Plate,Midbrain,-1595.85319358597
158,Surface Ectoderm,Midbrain,-12.406234503674067
157,Muscles,Midbrain,-0.3092717772573258
156,Allantois,Midbrain,0.0
155,Forebrain,Midbrain,-2.6461261592457053
154,Spinal cord,Midbrain,-7.195344359959664
153,Mix,Midbrain,0.0
151,Angiogenesis,Midbrain,0.6843450022280334
150,Neural Crest (Neural Tube),Midbrain,0.0
149,Hindbrain,Midbrain,0.0
147,Midbrain,Midbrain,3.4670347340580365
146,Hematopoiesis,Midbrain,0.0
145,Developing Heart,Midbrain,-3.5739029757898573
141,Splanchnic Mesoderm,Midbrain,-31.19513703533645
152,Ventral Gut,Midbrain,-22157.261280369483
148,Presomitic Mesoderm,Midbrain,3.192425669647421
143,Mixed mesenchymal mesoderm,Midbrain,0.0
159,Cranial Mesoderm,Midbrain,-2.9096434393734403
144,Dorsal Gut,Midbrain,-7055.242461470902
140,Lateral Plate Mesoderm,Midbrain,-0.5400092911876514
277,Muscles,Mix,-0.32757924716956066
262,Floor Plate,Mix,-1690.32037900137
263,Mixed mesenchymal mesoderm,Mix,0.0
264,Dorsal Gut,Mix,-7472.8804374683905
265,Developing Heart,Mix,-3.7854616307009374
266,Hematopoiesis,Mix,0.0
267,Midbrain,Mix,3.6722672794953395
268,Presomitic Mesoderm,Mix,3.381402618699859
271,Angiogenesis,Mix,0.724855085782968
272,Ventral Gut,Mix,-23468.869464682943
273,Mix,Mix,0.0
274,Spinal cord,Mix,-7.621275725395973
275,Forebrain,Mix,-2.8027646843448135
276,Allantois,Mix,0.0
270,Neural Crest (Neural Tube),Mix,0.0
269,Hindbrain,Mix,0.0
279,Cranial Mesoderm,Mix,-3.0818809781299743
261,Splanchnic Mesoderm,Mix,-33.041745987977016
278,Surface Ectoderm,Mix,-13.140626651946814
260,Lateral Plate Mesoderm,Mix,-0.5719753630304094
62,Floor Plate,Mixed mesenchymal mesoderm,595.5694143007369
76,Allantois,Mixed mesenchymal mesoderm,0.0
75,Forebrain,Mixed mesenchymal mesoderm,0.9875293123213748
74,Spinal cord,Mixed mesenchymal mesoderm,2.685288999875935
73,Mix,Mixed mesenchymal mesoderm,0.0
72,Ventral Gut,Mixed mesenchymal mesoderm,8269.048291093424
71,Angiogenesis,Mixed mesenchymal mesoderm,-0.25539626940291615
61,Splanchnic Mesoderm,Mixed mesenchymal mesoderm,11.641966546696437
70,Neural Crest (Neural Tube),Mixed mesenchymal mesoderm,0.0
60,Lateral Plate Mesoderm,Mixed mesenchymal mesoderm,0.2015304531533402
67,Midbrain,Mixed mesenchymal mesoderm,-1.2938908505007305
66,Hematopoiesis,Mixed mesenchymal mesoderm,0.0
65,Developing Heart,Mixed mesenchymal mesoderm,1.3337738775807795
64,Dorsal Gut,Mixed mesenchymal mesoderm,2633.0032345181094
63,Mixed mesenchymal mesoderm,Mixed mesenchymal mesoderm,0.0
69,Hindbrain,Mixed mesenchymal mesoderm,0.0
68,Presomitic Mesoderm,Mixed mesenchymal mesoderm,-1.1914072634702724
79,Cranial Mesoderm,Mixed mesenchymal mesoderm,1.0858734662915397
78,Surface Ectoderm,Mixed mesenchymal mesoderm,4.629983413717259
77,Muscles,Mixed mesenchymal mesoderm,0.11541964635669427
342,Floor Plate,Muscles,-24680.968428570508
359,Cranial Mesoderm,Muscles,-44.999639161172354
358,Surface Ectoderm,Muscles,-191.87095864036107
357,Muscles,Muscles,-4.783100977592987
356,Allantois,Muscles,0.0
355,Forebrain,Muscles,-40.92416298494555
354,Spinal cord,Muscles,-111.28095472354016
353,Mix,Muscles,0.0
352,Ventral Gut,Muscles,-342677.3015978722
341,Splanchnic Mesoderm,Muscles,-482.454272979836
350,Neural Crest (Neural Tube),Muscles,0.0
349,Hindbrain,Muscles,0.0
348,Presomitic Mesoderm,Muscles,49.373061055870444
347,Midbrain,Muscles,53.62007931303737
346,Hematopoiesis,Muscles,0.0
345,Developing Heart,Muscles,-55.27287025320718
344,Dorsal Gut,Muscles,-109114.18239931783
343,Mixed mesenchymal mesoderm,Muscles,0.0
340,Lateral Plate Mesoderm,Muscles,-8.35161549978699
351,Angiogenesis,Muscles,10.583866650219058
206,Hematopoiesis,Neural Crest (Neural Tube),0.0
205,Developing Heart,Neural Crest (Neural Tube),-6.922869095237886
204,Dorsal Gut,Neural Crest (Neural Tube),-13666.43703726524
200,Lateral Plate Mesoderm,Neural Crest (Neural Tube),-1.0460310921781788
202,Floor Plate,Neural Crest (Neural Tube),-3091.2654398434906
201,Splanchnic Mesoderm,Neural Crest (Neural Tube),-60.42689227060301
207,Midbrain,Neural Crest (Neural Tube),6.715858761448928
203,Mixed mesenchymal mesoderm,Neural Crest (Neural Tube),0.0
208,Presomitic Mesoderm,Neural Crest (Neural Tube),6.183924173924118
213,Mix,Neural Crest (Neural Tube),0.0
210,Neural Crest (Neural Tube),Neural Crest (Neural Tube),0.0
211,Angiogenesis,Neural Crest (Neural Tube),1.325618210258743
212,Ventral Gut,Neural Crest (Neural Tube),-42919.973035664254
214,Spinal cord,Neural Crest (Neural Tube),-13.937823000958808
215,Forebrain,Neural Crest (Neural Tube),-5.125708541624308
216,Allantois,Neural Crest (Neural Tube),0.0
217,Muscles,Neural Crest (Neural Tube),-0.5990783866567768
218,Surface Ectoderm,Neural Crest (Neural Tube),-24.031636565281286
209,Hindbrain,Neural Crest (Neural Tube),0.0
219,Cranial Mesoderm,Neural Crest (Neural Tube),-5.636157663219261
178,Surface Ectoderm,Presomitic Mesoderm,-44.699879843955394
169,Hindbrain,Presomitic Mesoderm,0.0
163,Mixed mesenchymal mesoderm,Presomitic Mesoderm,0.0
164,Dorsal Gut,Presomitic Mesoderm,-25420.161951986807
165,Developing Heart,Presomitic Mesoderm,-12.876834912676452
166,Hematopoiesis,Presomitic Mesoderm,0.0
167,Midbrain,Presomitic Mesoderm,12.49178676908926
168,Presomitic Mesoderm,Presomitic Mesoderm,11.502365508385186
160,Lateral Plate Mesoderm,Presomitic Mesoderm,-1.945662918394704
162,Floor Plate,Presomitic Mesoderm,-5749.886960524556
179,Cranial Mesoderm,Presomitic Mesoderm,-10.48349618816484
171,Angiogenesis,Presomitic Mesoderm,2.465707009032055
172,Ventral Gut,Presomitic Mesoderm,-79832.99982039914
173,Mix,Presomitic Mesoderm,0.0
174,Spinal cord,Presomitic Mesoderm,-25.924951541971076
175,Forebrain,Presomitic Mesoderm,-9.534038820175576
176,Allantois,Presomitic Mesoderm,0.0
177,Muscles,Presomitic Mesoderm,-1.1143116211800592
170,Neural Crest (Neural Tube),Presomitic Mesoderm,0.0
161,Splanchnic Mesoderm,Presomitic Mesoderm,-112.39662419586766
298,Surface Ectoderm,Spinal cord,-69.33849556490576
299,Cranial Mesoderm,Spinal cord,-16.262009125871707
280,Lateral Plate Mesoderm,Spinal cord,-3.018114145023949
289,Hindbrain,Spinal cord,0.0
291,Angiogenesis,Spinal cord,3.824807026483449
296,Allantois,Spinal cord,0.0
297,Muscles,Spinal cord,-1.7285212325590797
293,Mix,Spinal cord,0.0
292,Ventral Gut,Spinal cord,-123837.02424489651
290,Neural Crest (Neural Tube),Spinal cord,0.0
288,Presomitic Mesoderm,Spinal cord,17.84248017160929
287,Midbrain,Spinal cord,19.37727135978801
295,Forebrain,Spinal cord,-14.789209965578424
286,Hematopoiesis,Spinal cord,0.0
284,Dorsal Gut,Spinal cord,-39431.77907681495
283,Mixed mesenchymal mesoderm,Spinal cord,0.0
282,Floor Plate,Spinal cord,-8919.230049450667
281,Splanchnic Mesoderm,Spinal cord,-174.34974893717583
285,Developing Heart,Spinal cord,-19.97455840148926
294,Spinal cord,Spinal cord,-40.214809162545
37,Muscles,Splanchnic Mesoderm,0.4730918290797281
39,Cranial Mesoderm,Splanchnic Mesoderm,4.450870198730392
38,Surface Ectoderm,Splanchnic Mesoderm,18.977768438442858
35,Forebrain,Splanchnic Mesoderm,4.047768845107622
34,Spinal cord,Splanchnic Mesoderm,11.006690149031988
20,Lateral Plate Mesoderm,Splanchnic Mesoderm,0.8260501024490495
33,Mix,Splanchnic Mesoderm,0.0
32,Ventral Gut,Splanchnic Mesoderm,33893.87599310646
36,Allantois,Splanchnic Mesoderm,0.0
30,Neural Crest (Neural Tube),Splanchnic Mesoderm,0.0
29,Hindbrain,Splanchnic Mesoderm,0.0
28,Presomitic Mesoderm,Splanchnic Mesoderm,-4.883441071307117
27,Midbrain,Splanchnic Mesoderm,-5.3035094840022765
31,Angiogenesis,Splanchnic Mesoderm,-1.0468398755837725
25,Developing Heart,Splanchnic Mesoderm,5.466985415753326
24,Dorsal Gut,Splanchnic Mesoderm,10792.376822412334
23,Mixed mesenchymal mesoderm,Splanchnic Mesoderm,0.0
22,Floor Plate,Splanchnic Mesoderm,2441.170393857621
21,Splanchnic Mesoderm,Splanchnic Mesoderm,47.719079216726364
26,Hematopoiesis,Splanchnic Mesoderm,0.0
379,Cranial Mesoderm,Surface Ectoderm,3.2795889306044295
378,Surface Ectoderm,Surface Ectoderm,13.983620397657326
371,Angiogenesis,Surface Ectoderm,-0.7713557832037413
377,Muscles,Surface Ectoderm,0.3485940179185321
376,Allantois,Surface Ectoderm,0.0
375,Forebrain,Surface Ectoderm,2.982566847680074
374,Spinal cord,Surface Ectoderm,8.110193639359556
373,Mix,Surface Ectoderm,0.0
372,Ventral Gut,Surface Ectoderm,24974.437707480047
370,Neural Crest (Neural Tube),Surface Ectoderm,0.0
361,Splanchnic Mesoderm,Surface Ectoderm,35.161430684375695
368,Presomitic Mesoderm,Surface Ectoderm,-3.598325398320186
367,Midbrain,Surface Ectoderm,-3.9078495261557924
366,Hematopoiesis,Surface Ectoderm,0.0
365,Developing Heart,Surface Ectoderm,4.028305489204075
364,Dorsal Gut,Surface Ectoderm,7952.278539102689
363,Mixed mesenchymal mesoderm,Surface Ectoderm,0.0
362,Floor Plate,Surface Ectoderm,1798.75733147609
360,Lateral Plate Mesoderm,Surface Ectoderm,0.6086685639337089
369,Hindbrain,Surface Ectoderm,0.0
253,Mix,Ventral Gut,0.0
254,Spinal cord,Ventral Gut,312.2974944217763
255,Forebrain,Ventral Gut,114.8490646333681
259,Cranial Mesoderm,Ventral Gut,126.28643054717892
257,Muscles,Ventral Gut,13.423235400699271
258,Surface Ectoderm,Ventral Gut,538.4642842483912
252,Ventral Gut,Ventral Gut,961685.3391498814
256,Allantois,Ventral Gut,0.0
251,Angiogenesis,Ventral Gut,-29.702432409652836
246,Hematopoiesis,Ventral Gut,0.0
248,Presomitic Mesoderm,Ventral Gut,-138.55994763873076
247,Midbrain,Ventral Gut,-150.47872712594688
245,Developing Heart,Ventral Gut,155.11709916993536
244,Dorsal Gut,Ventral Gut,306216.69138123485
243,Mixed mesenchymal mesoderm,Ventral Gut,0.0
242,Floor Plate,Ventral Gut,69264.36441252964
241,Splanchnic Mesoderm,Ventral Gut,1353.9537021316496
240,Lateral Plate Mesoderm,Ventral Gut,23.437870401428185
250,Neural Crest (Neural Tube),Ventral Gut,0.0
249,Hindbrain,Ventral Gut,0.0
