,dataset,timestamp,cca,cas,gcs,mlami
0,xenium_human_breast_cancer,29062023_014049_44,0.5116036585365854,0.7315372625131094,0.9252043432653647,0.6801698988846333
1,xenium_human_breast_cancer,29062023_013834_43,0.5326829268292683,0.6645642257235416,0.8997730890672313,0.6008703983427152
2,xenium_human_breast_cancer,29062023_010724_42,0.556109756097561,0.5645046000219553,0.8870243057216018,0.5115505675288647
3,xenium_human_breast_cancer,29062023_003107_41,0.6051341463414635,0.44088072729484096,0.8494785985306511,0.40954413056625644
4,xenium_human_breast_cancer,29062023_000619_38,0.5107621951219512,0.6825749088641058,0.8790406585616672,0.6129730625505385
5,xenium_human_breast_cancer,29062023_000619_39,0.49529268292682926,0.754114297075767,0.8842786398200969,0.6846287917389318
6,xenium_human_breast_cancer,28062023_235123_37,0.5417804878048781,0.6112539892315456,0.8563261084046275,0.5547396023001883
7,xenium_human_breast_cancer,28062023_232642_36,0.5859329268292683,0.4357760931347636,0.8168577164056552,0.4236863958044144
8,xenium_human_breast_cancer,28062023_215126_34,0.4538170731707317,0.7339013746364067,0.875596158490648,0.6583145504443575
9,xenium_human_breast_cancer,28062023_214646_33,0.4565975609756098,0.6821538718892485,0.8566144379558291,0.624519566953688
10,xenium_human_breast_cancer,28062023_213955_32,0.5075182926829268,0.6370335374518608,0.8422615133823168,0.5287194403962259
11,xenium_human_breast_cancer,28062023_212749_31,0.5721158536585366,0.4507725849217131,0.7992208091945062,0.4087512500110996
12,xenium_human_breast_cancer,28062023_204947_28,0.5344329268292682,0.6907853356577527,0.9531534794993697,0.646735948374813
13,xenium_human_breast_cancer,28062023_204947_29,0.5180182926829269,0.7687005118665164,0.9611326512571317,0.7903086732351259
14,xenium_human_breast_cancer,28062023_202550_27,0.5595365853658537,0.6261921700823436,0.9495925037661566,0.5557734750408301
15,xenium_human_breast_cancer,28062023_195859_26,0.6069024390243902,0.49907995794305227,0.9127167494470564,0.3843632154819897
16,xenium_human_breast_cancer,28062023_190257_24,0.5083963414634146,0.7099960238584813,0.9495068903469123,0.7633608802149393
17,xenium_human_breast_cancer,28062023_185638_23,0.5296463414634146,0.6433793988353049,0.938078879001645,0.6444420222039805
18,xenium_human_breast_cancer,28062023_181624_22,0.5577621951219512,0.5899761753366806,0.9403283207519139,0.5879163058912438
19,xenium_human_breast_cancer,28062023_180832_21,0.600530487804878,0.4795549760143518,0.9177931135631727,0.4438187403602761
20,xenium_human_breast_cancer,28062023_175811_19,0.4774512195121951,0.7303148599369983,0.8828474599340945,0.6127987415113928
21,xenium_human_breast_cancer,28062023_172413_18,0.49464024390243905,0.654782996679505,0.8682162687928385,0.5633659775574902
